grid_id,price_2014,price_2020
E1224N4887,167.0,312.0
E1228N4887,166.0,326.0
E1229N4887,174.0,335.0
E1230N4887,166.0,324.0
E1231N4887,157.0,301.0
E1232N4887,203.0,365.0
E1233N4887,210.0,358.0
E1257N4887,411.0,617.0
E1258N4887,342.0,567.0
E1150N4886,235.0,357.0
E1151N4886,235.0,357.0
E1154N4886,161.0,263.0
E1159N4886,128.0,207.0
E1160N4886,138.0,220.0
E1161N4886,129.0,207.0
E1163N4886,156.0,277.0
E1164N4886,178.0,290.0
E1170N4886,207.0,330.0
E1171N4886,204.0,344.0
E1172N4886,211.0,349.0
E1173N4886,155.0,276.0
E1174N4886,145.0,254.0
E1175N4886,147.0,255.0
E1176N4886,89.0,177.0
E1181N4886,325.0,493.0
E1182N4886,205.0,374.0
E1183N4886,216.0,377.0
E1184N4886,184.0,327.0
E1185N4886,171.0,311.0
E1186N4886,171.0,310.0
E1187N4886,171.0,309.0
E1188N4886,167.0,319.0
E1196N4886,313.0,508.0
E1197N4886,266.0,442.0
E1198N4886,218.0,348.0
E1199N4886,222.0,361.0
E1200N4886,225.0,344.0
E1201N4886,227.0,346.0
E1202N4886,227.0,360.0
E1203N4886,231.0,382.0
E1204N4886,253.0,423.0
E1205N4886,262.0,384.0
E1206N4886,254.0,317.0
E1207N4886,363.0,595.0
E1208N4886,293.0,457.0
E1209N4886,428.0,494.0
E1210N4886,306.0,465.0
E1211N4886,270.0,427.0
E1212N4886,453.0,665.0
E1213N4886,363.0,585.0
E1214N4886,578.0,1084.0
E1226N4886,177.0,343.0
E1227N4886,166.0,320.0
E1229N4886,135.0,260.0
E1230N4886,144.0,274.0
E1233N4886,173.0,181.0
E1259N4886,462.0,666.0
E1261N4886,460.0,798.0
E1142N4885,283.0,436.0
E1143N4885,301.0,447.0
E1146N4885,178.0,314.0
E1147N4885,172.0,307.0
E1148N4885,170.0,290.0
E1149N4885,176.0,315.0
E1150N4885,213.0,361.0
E1151N4885,304.0,481.0
E1152N4885,202.0,329.0
E1153N4885,172.0,298.0
E1154N4885,179.0,319.0
E1157N4885,189.0,322.0
E1158N4885,130.0,206.0
E1159N4885,140.0,233.0
E1160N4885,156.0,260.0
E1161N4885,193.0,320.0
E1162N4885,127.0,224.0
E1163N4885,138.0,240.0
E1164N4885,143.0,243.0
E1170N4885,207.0,376.0
E1171N4885,212.0,369.0
E1172N4885,223.0,376.0
E1173N4885,163.0,287.0
E1174N4885,200.0,333.0
E1175N4885,214.0,359.0
E1177N4885,143.0,249.0
E1178N4885,152.0,263.0
E1181N4885,76.0,136.0
E1182N4885,182.0,339.0
E1183N4885,220.0,388.0
E1184N4885,224.0,392.0
E1185N4885,183.0,337.0
E1187N4885,164.0,296.0
E1188N4885,163.0,255.0
E1195N4885,421.0,647.0
E1196N4885,325.0,477.0
E1197N4885,314.0,502.0
E1198N4885,189.0,314.0
E1199N4885,203.0,329.0
E1200N4885,201.0,325.0
E1201N4885,227.0,367.0
E1202N4885,191.0,294.0
E1203N4885,196.0,320.0
E1204N4885,268.0,386.0
E1205N4885,333.0,517.0
E1206N4885,252.0,333.0
E1207N4885,285.0,437.0
E1208N4885,299.0,478.0
E1209N4885,265.0,407.0
E1210N4885,314.0,472.0
E1211N4885,265.0,409.0
E1212N4885,401.0,647.0
E1213N4885,428.0,672.0
E1222N4885,289.0,362.0
E1226N4885,217.0,403.0
E1227N4885,172.0,335.0
E1228N4885,169.0,331.0
E1229N4885,163.0,321.0
E1230N4885,185.0,330.0
E1260N4885,465.0,687.0
E1261N4885,494.0,717.0
E1142N4884,251.0,404.0
E1144N4884,283.0,397.0
